step,total_loss,actor_loss,q1_loss,q2_loss,alpha,cost_q1_loss,cost_q2_loss,lambda,cost_estimate,cost_gap
1,0.11555682122707367,0.02796528860926628,0.04378478229045868,0.043801650404930115,0.19993999600410461,2.7481885354063706e-06,2.344848098800867e-06,0.09990005195140839,0.0005609370418824255,-0.04943906295811758
2,0.15067344903945923,0.056254468858242035,0.047207094728946686,0.0472087487578392,0.1998801827430725,1.476674128753075e-06,1.64754862908012e-06,0.09980020672082901,0.0008625872433185577,-0.04942398044804577
3,0.18381603062152863,0.09674789011478424,0.043529681861400604,0.04353650286793709,0.19982083141803741,8.801099511401844e-07,1.091757894755574e-06,0.09970046579837799,0.0011100845877081156,-0.049397277196258076
4,0.14660485088825226,0.0669931024312973,0.03978588059544563,0.039823196828365326,0.19976137578487396,1.2931930086779175e-06,1.373996838083258e-06,0.09960082173347473,0.0012397915124893188,-0.049365423760820704
5,0.14051558077335358,0.0824204757809639,0.0290587916970253,0.029033850878477097,0.19970202445983887,1.169913048215676e-06,1.2805774076696252e-06,0.09950128197669983,0.001275211339816451,-0.04933339200578885
6,0.06850285083055496,0.005526356399059296,0.03148690611124039,0.0314866341650486,0.19964218139648438,1.555453764012782e-06,1.400978135279729e-06,0.09940183907747269,0.001251602778211236,-0.04930414226658884
7,0.1541489064693451,0.10143546015024185,0.026363175362348557,0.026347966864705086,0.1995827853679657,1.2116213383706054e-06,1.0955225206998875e-06,0.0993025153875351,0.0011471858015283942,-0.049281575863182984
8,0.14805299043655396,0.044340651482343674,0.05184602737426758,0.05186305195093155,0.1995231807231903,1.7125387330452213e-06,1.5380047670987551e-06,0.09920328855514526,0.0010303800227120519,-0.04926597806888823
9,0.12648436427116394,0.05115991085767746,0.03766427934169769,0.03765658661723137,0.19946345686912537,1.787489509297302e-06,1.7998133898800006e-06,0.09910416603088379,0.0008069294271990657,-0.049262332694083866
10,0.15405791997909546,0.10142502933740616,0.026308905333280563,0.026322094723582268,0.19940416514873505,1.005454237201775e-06,8.92479988578998e-07,0.09900514781475067,0.0006416260148398578,-0.04926713475863768
